paper_id,pub_year,frontier_size
9305208,1993,6
9308234,1993,6
9401216,1994,2
9401319,1994,2
9403383,1994,3
9405245,1994,46
9405267,1994,3
9405317,1994,1
9406270,1994,3
9406318,1994,5
9406357,1994,1
9406431,1994,1
9407243,1994,14
9407332,1994,2
9409457,1994,4
9411211,1994,27
9411229,1994,30
9411308,1994,3
9411368,1994,2
9411403,1994,12
9412220,1994,4
9412291,1994,24
9501275,1995,4
9501281,1995,60
9501357,1995,33
9502329,1995,17
9502345,1995,15
9503234,1995,62
9503323,1995,101
9503371,1995,4
9503422,1995,5
9503453,1995,3
9504347,1995,109
9505407,1995,5
9506234,1995,3
9507302,1995,44
9507365,1995,2
9508271,1995,59
9508285,1995,2
9508407,1995,48
9509310,1995,33
9509354,1995,3
9510268,1995,88
9510283,1995,104
9510392,1995,75
9511218,1995,38
9511275,1995,141
9511438,1995,173
9601293,1996,605
9602278,1996,2
9602282,1996,85
9602303,1996,13
9602365,1996,1
9602392,1996,122
9603346,1996,99
9603354,1996,4
9603432,1996,394
9604260,1996,590
9604282,1996,165
9604446,1996,24
9605338,1996,472
9605381,1996,6
9605433,1996,32
9606239,1996,145
9606338,1996,612
9607217,1996,24
9607233,1996,99
9607238,1996,14
9607343,1996,69
9607363,1996,279
9607385,1996,89
9607466,1996,380
9608263,1996,51
9608370,1996,109
9609212,1996,437
9609261,1996,66
9609413,1996,89
9609519,1996,1109
9610211,1996,136
9610245,1996,96
9610258,1996,31
9610266,1996,419
9610270,1996,2
9610401,1996,84
9610417,1996,16
9611233,1996,105
9612203,1996,26
9612307,1996,1033
9612411,1996,3
9612453,1996,40
9701323,1997,2
9701391,1997,56
9702217,1997,549
9702257,1997,1
9702298,1997,139
9702312,1997,948
9702340,1997,329
9702380,1997,278
9702433,1997,3
9703203,1997,227
9703366,1997,22
9703383,1997,11
9704229,1997,159
9704289,1997,221
9704313,1997,33
9704346,1997,170
9704353,1997,158
9704405,1997,483
9705271,1997,598
9705347,1997,89
9706246,1997,47
9706267,1997,217
9706412,1997,232
9707202,1997,35
9707212,1997,85
9707411,1997,91
9708291,1997,12
9708369,1997,426
9708435,1997,57
9709224,1997,76
9709244,1997,993
9709353,1997,155
9710316,1997,484
9710379,1997,213
9710407,1997,180
9710411,1997,140
9710505,1997,160
9711230,1997,3
9711348,1997,179
9711384,1997,283
9711466,1997,131
9712346,1997,240
9712450,1997,136
9801361,1998,167
9801365,1998,790
9801388,1998,398
9802282,1998,200
9802345,1998,1182
9802381,1998,301
9802390,1998,927
9802439,1998,666
9803269,1998,912
9803361,1998,522
9804201,1998,188
9804232,1998,53
9804240,1998,174
9804357,1998,100
9804387,1998,39
9804408,1998,131
9804431,1998,112
9804442,1998,38
9804446,1998,572
9804459,1998,258
9805217,1998,52
9805237,1998,1005
9805286,1998,32
9805315,1998,152
9805461,1998,396
9805474,1998,407
9806206,1998,1238
9806237,1998,806
9806313,1998,400
9806319,1998,90
9806351,1998,330
9806468,1998,1228
9806512,1998,7
9806514,1998,73
9807216,1998,169
9807246,1998,1079
9807267,1998,285
9807529,1998,326
9808349,1998,280
9808358,1998,870
9808418,1998,594
9808475,1998,229
9808498,1998,731
9809229,1998,221
9809334,1998,227
9809366,1998,219
9809394,1998,65
9809422,1998,358
9809500,1998,1181
9810241,1998,320
9810368,1998,2
9810463,1998,42
9811227,1998,177
9811268,1998,198
9811366,1998,154
9811429,1998,135
9812228,1998,284
9812330,1998,170
9812415,1998,676
9812476,1998,121
9901289,1999,164
9901313,1999,118
9901373,1999,195
9902227,1999,1108
9902232,1999,89
9902415,1999,387
9902455,1999,143
