paper_id,pub_year,frontier_size
9210209,1992,1
9305203,1993,1
9305282,1993,4
9308292,1993,1
9309231,1993,5
9309243,1993,2
9309316,1993,4
9310375,1993,1
9311225,1993,4
9312218,1993,8
9312304,1993,9
9312306,1993,3
9312311,1993,7
9312363,1993,4
9402207,1994,2
9402355,1994,11
9403264,1994,1
9403350,1994,5
9404208,1994,4
9404226,1994,4
9405201,1994,1
9405225,1994,5
9405258,1994,1
9405271,1994,8
9405410,1994,11
9406238,1994,7
9406268,1994,5
9406303,1994,9
9406391,1994,1
9407260,1994,2
9407382,1994,1
9407386,1994,1
9408206,1994,1
9408214,1994,1
9408234,1994,9
9408262,1994,12
9409378,1994,1
9409436,1994,4
9410329,1994,3
9410340,1994,1
9411277,1994,5
9411376,1994,1
9411399,1994,5
9412347,1994,3
9501266,1995,3
9501349,1995,29
9501360,1995,10
9502291,1995,9
9503321,1995,4
9507282,1995,9
9507306,1995,2
9507452,1995,8
9508251,1995,1
9508316,1995,8
9509301,1995,5
9510256,1995,2
9510273,1995,2
9511208,1995,26
9511425,1995,10
9512296,1995,3
9512345,1995,7
9512364,1995,12
9601233,1996,36
9601278,1996,14
9602206,1996,67
9602401,1996,5
9603224,1996,4
9603343,1996,9
9603375,1996,7
9603421,1996,4
9604235,1996,5
9604253,1996,5
9604408,1996,2
9604429,1996,1
9605301,1996,4
9605368,1996,4
9606204,1996,2
9606225,1996,4
9606296,1996,2
9606408,1996,8
9607296,1996,20
9607433,1996,6
9607460,1996,4
9607461,1996,4
9608255,1996,4
9608335,1996,3
9609217,1996,1
9609276,1996,16
9609296,1996,5
9609387,1996,11
9610236,1996,6
9611264,1996,7
9611284,1996,48
9611322,1996,3
9611325,1996,24
9612208,1996,7
9612317,1996,16
9612345,1996,2
9612487,1996,6
9701305,1997,17
9701366,1997,6
9701417,1997,11
9702390,1997,40
9703235,1997,8
9704350,1997,17
9704368,1997,4
9704376,1997,194
9704396,1997,19
9704443,1997,11
9705274,1997,3
9705307,1997,21
9705320,1997,22
9705398,1997,17
9705449,1997,23
9706221,1997,10
9706247,1997,20
9706299,1997,7
9706343,1997,19
9706424,1997,3
9707306,1997,5
9707318,1997,18
9707334,1997,10
9708340,1997,42
9708375,1997,3
9708420,1997,5
9708494,1997,10
9709345,1997,8
9709372,1997,13
9709385,1997,5
9709498,1997,4
9709502,1997,21
9709511,1997,27
9710321,1997,2
9710420,1997,1
9710511,1997,4
9711248,1997,14
9711287,1997,10
9711336,1997,20
9711371,1997,11
9712219,1997,70
9712268,1997,6
9712306,1997,5
9712314,1997,5
9712412,1997,3
9712495,1997,21
9712499,1997,43
9712541,1997,2
9801257,1998,7
9802341,1998,2
9802360,1998,3
9803238,1998,2
9803405,1998,13
9803415,1998,6
9803427,1998,5
9804222,1998,14
9804247,1998,7
9804252,1998,15
9804357,1998,10
9804437,1998,8
9804463,1998,26
9805324,1998,3
9805443,1998,5
9806235,1998,21
9806346,1998,49
9806370,1998,10
9806478,1998,8
9807247,1998,3
9807326,1998,7
9807404,1998,2
9807423,1998,18
9807467,1998,2
9807483,1998,1
9807524,1998,2
9807551,1998,7
9808236,1998,24
9808262,1998,20
9809239,1998,8
9809288,1998,8
9809440,1998,3
9809469,1998,1
9809506,1998,57
9810285,1998,4
9810293,1998,1
9810367,1998,16
9810372,1998,1
9810523,1998,10
9812203,1998,20
9812248,1998,23
9812270,1998,19
9812287,1998,8
9812363,1998,8
9812449,1998,56
9812503,1998,3
9812511,1998,2
9901250,1999,8
9901324,1999,12
9901445,1999,8
9902235,1999,34
9902360,1999,14
9902386,1999,1
