paper_id,pub_year,frontier_size
9304244,1993,5
9309293,1993,5
9310272,1993,8
9401265,1994,7
9402265,1994,6
9402282,1994,5
9403203,1994,5
9404239,1994,8
9404304,1994,6
9404329,1994,7
9404352,1994,6
9405295,1994,5
9405393,1994,6
9405399,1994,8
9406211,1994,5
9406345,1994,8
9407317,1994,5
9407402,1994,7
9408318,1994,5
9408385,1994,8
9409201,1994,7
9409354,1994,5
9409376,1994,6
9409443,1994,5
9409456,1994,5
9410364,1994,7
9411210,1994,5
9411243,1994,5
9411290,1994,8
9411398,1994,8
9412282,1994,5
9412393,1994,6
9412397,1995,8
9501226,1995,6
9501228,1995,6
9501254,1995,5
9501284,1995,5
9502401,1995,5
9503250,1995,8
9503345,1995,5
9503351,1995,5
9503454,1995,5
9504255,1995,5
9504275,1995,7
9504420,1995,7
9505221,1995,6
9505281,1995,7
9505359,1995,7
9505381,1995,5
9505430,1995,8
9506305,1995,5
9507237,1995,5
9507426,1995,7
9508258,1995,6
9509238,1995,6
9510448,1995,6
9511239,1995,6
9511385,1995,5
9511431,1995,6
9512212,1995,7
9512410,1995,6
9601335,1996,7
9601348,1996,8
9601385,1996,7
9602339,1996,7
9603302,1996,7
9603423,1996,8
9604229,1996,5
9604242,1996,7
9604357,1996,5
9604432,1996,7
9605263,1996,8
9605302,1996,6
9606223,1996,7
9606288,1996,6
9606451,1996,7
9607204,1996,5
9607231,1996,8
9607299,1996,5
9607316,1996,5
9607450,1996,6
9607470,1996,6
9608201,1996,7
9608322,1996,5
9608399,1996,8
9609202,1996,8
9609229,1996,5
9609293,1996,7
9609378,1996,5
9610249,1996,6
9610378,1996,6
9610402,1996,8
9610489,1996,5
9611201,1996,7
9611335,1996,8
9611382,1996,6
9611394,1996,7
9611463,1996,5
9612401,1996,6
9702288,1997,5
9702314,1997,7
9702350,1997,6
9703262,1997,5
9703376,1997,5
9703393,1997,8
9704261,1997,8
9704338,1997,5
9704418,1997,5
9705216,1997,6
9705255,1997,7
9705415,1997,8
9706204,1997,6
9707253,1997,8
9707280,1997,7
9707289,1997,6
9707307,1997,6
9707337,1997,5
9707410,1997,7
9707469,1997,6
9707490,1997,5
9708220,1997,8
9708262,1997,7
9708302,1997,5
9708326,1997,6
9708396,1997,6
9708425,1997,6
9708480,1997,6
9709413,1997,8
9709424,1997,6
9709441,1997,6
9710475,1997,7
9710514,1997,8
9710561,1997,5
9711283,1997,5
9711490,1997,5
9712205,1997,8
9712229,1997,7
9712302,1997,7
9712347,1997,5
9712350,1997,7
9712355,1997,6
9712465,1997,8
9801206,1998,5
9801316,1998,8
9801428,1998,7
9802203,1998,5
9802278,1998,7
9802311,1998,7
9802379,1998,6
9803217,1998,5
9803274,1998,6
9803297,1998,6
9803309,1998,7
9803400,1998,8
9803493,1998,8
9803496,1998,6
9804247,1998,7
9804315,1998,6
9804387,1998,6
9805371,1998,5
9805381,1998,7
9805501,1998,7
9806358,1998,6
9806367,1998,5
9806389,1998,6
9806422,1998,6
9806481,1998,5
9806504,1998,6
9806509,1998,5
9807215,1998,7
9807307,1998,8
9807375,1998,5
9807387,1998,6
9807527,1998,8
9808285,1998,5
9808411,1998,5
9809243,1998,6
9809274,1998,6
9809366,1998,7
9809379,1998,5
9809560,1998,8
9810230,1998,6
9810358,1998,5
9810378,1998,5
9810433,1998,8
9810453,1998,7
9810513,1998,7
9810544,1998,6
9811263,1998,7
9811297,1998,6
9812260,1998,8
9812341,1998,7
9812479,1998,6
9812506,1998,6
9901214,1999,7
9901416,1999,8
9901420,1999,8
9901455,1999,7
9902209,1999,5
9902412,1999,7
